ID,date,chamber,debate_num,summary
ParlaMint-NL-en_2022-02-03-tweedekamer-10,2022-02-03,tweedekamer,10,"the next item is the two-minute debate on rail, rail safety, ERTMS and international rail transport. a motion was proposed in 2019 by Ms Van der Graaf of the Christian Union on a governance agreement accessibility. a motion was proposed in 2019 by Ms Van der Graaf of the Christian Union on a governance agreement accessibility."
ParlaMint-NL-en_2022-02-03-tweedekamer-11,2022-02-03,tweedekamer,11,the secretary of state for the interior and Kingdom Relations will speak on behalf of the VVD. he will speak on behalf of the 'the law we are discussing today' eight speakers have spoken on the side of the chamber. a number of safeguards have been added.
ParlaMint-NL-en_2022-02-03-tweedekamer-12,2022-02-03,tweedekamer,12,the situation in Ukraine is tense and worrying. the Netherlands must therefore prepare for various scenarios and count its nodes. BVNL does not want Dutch deaths as a result of a conflict in Ukraine.
ParlaMint-NL-en_2022-02-03-tweedekamer-4,2022-02-03,tweedekamer,4,"the motion of the VVD and the SP is about lowering the limit of €100,000 by 2022 to at least €400,000. it's a pity that this has not been a debate, but a written contribution, Mr. Chairman says. he says it's a pity that this motion has not been a debate."
ParlaMint-NL-en_2022-02-03-tweedekamer-5,2022-02-03,tweedekamer,5,"van Raan: ""you may make your contribution in rhyme, but that's as far as we go"" he has two motions for resolutions. he says it's gonna take more than two minutes, but you may not want to."
ParlaMint-NL-en_2022-02-03-tweedekamer-6,2022-02-03,tweedekamer,6,the next item is the two-minute debate on the Circular Economy. I will be the first to give the floor to Mrs Mulder from the Christian Democratic Group. she will be the first to give the floor to the new secretary of state.
ParlaMint-NL-en_2022-02-03-tweedekamer-7,2022-02-03,tweedekamer,7,"the two-minute debate on tightening up the rules on industrial emissions will take place in a minute. a total of 19 megatons of CO emissions were emitted by the use of biomaterials in 2020, according to the agreement. a total of 19 megatons of CO emissions were emitted by the use of biomaterials in 2020."
ParlaMint-NL-en_2022-02-08-eerstekamer-11,2022-02-08,eerstekamer,11,"bruijn: the first term of office of the debate on the rule of law, fundamental rights and democracy in the u.s. he says the u.s. is not a government and therefore we are not a United States of Europe. he says it is not the right of the strongest or the greatest to decide; it is the right that prevails in the value community that is the EU. he says the u.s. is not a government and therefore we are not a United States"
ParlaMint-NL-en_2022-02-08-eerstekamer-3,2022-02-08,eerstekamer,3,"bruijn, Jan Anthonie (VVD) will speak on behalf of the Group of the Greens/European Free Alliance. he says it is 70 years since the Treaty establishing the European Coal and Steel Community entered into force. he says a treaty amendment which again requires unanimity may take a long time. he says a treaty amendment which again requires unanimity may take years."
ParlaMint-NL-en_2022-02-08-tweedekamer-23,2022-02-08,tweedekamer,23,the next item is the two-minute debate on Terrorism/Extremism. the committee debate took place on 26 January last year. the minister agreed to come forward with an update before the summer on whether the International Crimes Team is sufficiently equipped to do so.
ParlaMint-NL-en_2022-02-08-tweedekamer-24,2022-02-08,tweedekamer,24,"van Nispen, Michiel (SP): ""the closure of a house is an extremely important means"" van Nispen: if there's really something going on, it's only possible if there's really something going on"" van Nispen: ""the law is not being used as we intended it to be"""
ParlaMint-NL-en_2022-02-08-tweedekamer-25,2022-02-08,tweedekamer,25,"a police informant's death is not attributed to the police. the police say they are morally responsible, but not legally. the police say they are morally responsible, but not legally. the police say they are morally responsible, but not legally."
ParlaMint-NL-en_2022-02-09-tweedekamer-2,2022-02-09,tweedekamer,2,"in the Netherlands, about 30,000 abortion treatments take place every year. in the Netherlands, about 30,000 abortion treatments take place every year. for up to nine weeks it is possible to break off pregnancy by taking medicines."
ParlaMint-NL-en_2022-02-09-tweedekamer-5,2022-02-09,tweedekamer,5,"tens of thousands of Groningeners were waiting in line for compensation. the cabinet announced that it would pay an additional 250 million. but it became deafeningly silent, and it symbolizes the whole approach."
ParlaMint-NL-en_2022-02-10-tweedekamer-16,2022-02-10,tweedekamer,16,"''export credit insurance' is bad for employment, the entire export sector and the Dutch economy. ''export credit insurance' is bad for employment, the entire export sector and the Dutch economy,' he says. ''we are everywhere and that makes us a mighty beautiful country,' he says."
ParlaMint-NL-en_2022-02-10-tweedekamer-17,2022-02-10,tweedekamer,17,"a two-minute debate on the westerveld/Ceder motion on agreements with creditors to prevent claims for financial compensation. it concerns victims of violence in youth care, often children who have been placed out of their homes at an early age, went to boarding school, have experienced abuse or abuse. if the WODC report shows that it can be regulated by law and regulation, will the Minister promise that he will take care of these victims with retroactive effect?"
ParlaMint-NL-en_2022-02-10-tweedekamer-21,2022-02-10,tweedekamer,21,secretary of state for finance says she wants a signal from the chamber. he says he would like a signal from the chamber if he had to extend the law or otherwise take action. he says 750 parents who have been injured in the supplement scandal are at risk of being evicted or seized.
ParlaMint-NL-en_2022-02-10-tweedekamer-23,2022-02-10,tweedekamer,23,the next item is the debate on the Start note. it's about the start note and about nearly 200 billion a minute. a coalition agreement full of concessions and gifts was paid off. the VVD got some money for the DOD.
ParlaMint-NL-en_2022-02-10-tweedekamer-4,2022-02-10,tweedekamer,4,"the next item is the two-minute debate on Agriculture and Fisheries Councils 15 and 16 November 2021 (21501-32, no. 1359) Mr Wassenberg, of the Group of the Party of Animals, has two minutes' speaking time. he's undergoing his baptism of fire here today. he is undergoing his baptism of fire."
ParlaMint-NL-en_2022-02-10-tweedekamer-5,2022-02-10,tweedekamer,5,the next item is the two-minute debate Measures in the coalition agreement on housing and spatial planning. the committee debate took place on 27 January. a terraced house in Hilversum is for sale for 1 million.
ParlaMint-NL-en_2022-02-15-eerstekamer-3,2022-02-15,eerstekamer,3,a coalition agreement says that we need more transparency and debate. the coalition agreement says that we need more transparency and debate. the coalition agreement says that we need more transparency and debate. the coalition agreement says that we need more transparency.
ParlaMint-NL-en_2022-02-15-eerstekamer-7,2022-02-15,eerstekamer,7,"bruijn, Jan anthonie (VVD): the more asylum seekers, the better. he says it's always a form of courtesy to welcome a new government. he says it's always a form of courtesy to welcome a new government. bruijn: it's always a form of courtesy to welcome new government."
ParlaMint-NL-en_2022-02-15-tweedekamer-21,2022-02-15,tweedekamer,21,dean obeidallah: many speakers have spoken with long speaking time. obeidallah: confidence in Dutch politics is extremely low. obeidallah: many people have little or no confidence in national politics. obeidallah: we need a democracy in the Netherlands.
ParlaMint-NL-en_2022-02-16-tweedekamer-3,2022-02-16,tweedekamer,3,the first speaker on the side of the Chamber is Mrs Tielen from the VVD group. the first speaker on the side of the Chamber is Mrs Tielen from the VVD group. she says the government has agreed to a scientific opinion on the corona virus.
ParlaMint-NL-en_2022-02-17-tweedekamer-10,2022-02-17,tweedekamer,10,the committee debate took place on 10 february last year. she has two minutes' speaking time. the motion judgment chamber will vote on the motion on monday. it's important to see together what the advantages and disadvantages of the exploration are.
ParlaMint-NL-en_2022-02-17-tweedekamer-11,2022-02-17,tweedekamer,11,the legislation proposed by the VVD is a supporter of a safe and fast scaling-up of the use of geothermal energy in the Netherlands. there is much potential for further use of geothermal heat in the Netherlands. there is much potential for further use of geothermal heat in the Netherlands.
ParlaMint-NL-en_2022-02-17-tweedekamer-3,2022-02-17,tweedekamer,3,the next item is the two-minute debate on Examinations in secondary education. the first speaker is Mr. van Meenen of the D66 Group. he has two minutes' speaking time.
ParlaMint-NL-en_2022-02-17-tweedekamer-4,2022-02-17,tweedekamer,4,"the next item is the two-minute debate on progress on education, culture and science in the Caribbean region of the Kingdom. we have two speakers from the Chamber. half of them are Mr de Hoop of the Labour Party's group. he is pleased that this debate has been moved to later today."
ParlaMint-NL-en_2022-02-17-tweedekamer-5,2022-02-17,tweedekamer,5,the two-minute debate on the general affairs council took place on 16 February. the first speaker on the side of the chamber is Mrs Kamminga of the VVD group. she has two minutes' speaking time.
ParlaMint-NL-en_2022-02-21-eerstekamer-3,2022-02-21,eerstekamer,3,"a proposal aimed at extending the jurisdiction without prior criminal conviction to withdraw the Dutch citizenship of compatriots who have joined a terrorist organisation abroad. the aim of this proposal is to make our country safer. the DA and the AIVD are critical, and experts are extremely critical."
ParlaMint-NL-en_2022-02-21-eerstekamer-4,2022-02-21,eerstekamer,4,"bruijn, Jan anthonie (VVD) will speak on behalf of the groups of the VVD, the CDA, the PvdA, the Christian Union, 50PLUS, the OSF and, of course, my own GroenLinks. despite all good intentions and commitments, it has not been possible for this Chamber's control to be meaningful, let alone decisive. the groups on which I am speaking regret this."
ParlaMint-NL-en_2022-02-21-eerstekamer-5,2022-02-21,eerstekamer,5,"despite the transiently increased mortality, the mortality of COVID-19 is low compared to infectious diseases in group A. there are different values around, but let us give the Minister the benefit of the doubt. the minister wants to quickly classify COOVID-19 into the group of infectious diseases A."
ParlaMint-NL-en_2022-02-21-eerstekamer-6,2022-02-21,eerstekamer,6,"bruijn, Ernst (VVD): we need the government's response in the first term. he says we're at a kind of tilting point, a tilting point with most Dutch people of all ages. he says we're now also dealing with a variant that protects the built-up immune status from."
ParlaMint-NL-en_2022-02-21-eerstekamer-7,2022-02-21,eerstekamer,7,"bruijn, Ernst (VVD) says he's ready for the government's response in the first term. he says that the legal status of the disease was already obtained by ministerial regulation in January 2020. he says it's important to ensure regular provisions of the public health Act apply to group A infectious diseases."
ParlaMint-NL-en_2022-02-22-eerstekamer-18,2022-02-22,eerstekamer,18,the withdrawal of Dutch citizenship is the only measure that can prevent legal return. the withdrawal of Dutch citizenship is a matter of treaty law and therefore of international law. the withdrawal of Dutch citizenship is permitted in the case of behaviour which seriously harms the essential interests of the State concerned.
ParlaMint-NL-en_2022-02-22-eerstekamer-20,2022-02-22,eerstekamer,20,"bruijn, Jan anthonie (VVD): we need the government's first-term response. he says the cabinet is committed to an ambitious package of measures to reduce emissions from agriculture to the environment and nature. he says the bill clarifies the phosphate rights system and provides some flexibility to entrepreneurs to cope with unforeseen circumstances."
ParlaMint-NL-en_2022-02-22-eerstekamer-21,2022-02-22,eerstekamer,21,"bruijn, Jan anthonie (VVD) says infringement of citizens' rights proportionate to purpose of law. she asks: can there be less radical action than what is now in pipeline? she asks: can there be less radical action than what is now in the pipeline?"
ParlaMint-NL-en_2022-02-22-eerstekamer-3,2022-02-22,eerstekamer,3,"bruijn, Jan anthonie (VVD): this is the first time we have had the debate here. he asks that we avoid leaving the Chamber in a moment and think that the law now before us will become the line of the new minister. he asks that we avoid leaving the Chamber in a moment and think that the law now before us will become the line of the new minister."
ParlaMint-NL-en_2022-02-22-eerstekamer-4,2022-02-22,eerstekamer,4,"bruijn, Jan anthonie, of the GroenLinks Group, says 'in case' is not enough. 'in case' is not sufficient to allow the extension of a temporary law-limiting law, she says. 'i come to proportionality,' she says, but the law is not effective."
ParlaMint-NL-en_2022-02-22-tweedekamer-15,2022-02-22,tweedekamer,15,"the first chamber adopted a motion to maintain the link between the AOW and the minimum wage. it's now the turn of the House of Representatives. it's the second motion, which the government is instructing to ensure pensions can be indexed again."
ParlaMint-NL-en_2022-02-22-tweedekamer-16,2022-02-22,tweedekamer,16,"the next item is the amendment of the Financing Act for political parties. it concerns the continuation of the procedure, because last week we had the first term of office. it is a proper legislative proposal, in which the consultation is still ongoing."
ParlaMint-NL-en_2022-02-23-tweedekamer-2,2022-02-23,tweedekamer,2,"the government has allocated about six hours to the debate. the end time is scheduled at 4.30 p.m. it's not mandatory to go on for that long, he says. the VVD is pleased with the direction taken, he says."
ParlaMint-NL-en_2022-02-23-tweedekamer-5,2022-02-23,tweedekamer,5,"the next item is the main debate on government climate plans. it's the first term of office, and it's now the first term of office. it's the first term of office, and it's now the first term of office."
ParlaMint-NL-en_2022-02-23-tweedekamer-6,2022-02-23,tweedekamer,6,"the first parliamentary debate on the Start note is about the financial arrangements for this cabinet period. it's important that I pronounce this here at the moment, in the first term in the Chamber. a number of different topics have been identified during the consultation on the Start note."
ParlaMint-NL-en_2022-02-24-tweedekamer-4,2022-02-24,tweedekamer,4,"the committee debate on the concentration of heart care took place on 17 February last year. the first speaker on the side of the chamber is Mrs Paulusma of the D66 group. she has two minutes' speaking time, and is open to the possibility of three."
ParlaMint-NL-en_2022-02-24-tweedekamer-5,2022-02-24,tweedekamer,5,"four emergency services in Drenthe and Groningen are closing because of staff shortages. a recording stop is now almost every day, according to a spokesperson of the Groningen UMCG. the chairman of the Wilhelmina Hospital Assen can no longer guarantee that someone in a life-threatening situation can always go to his hospital."
ParlaMint-NL-en_2022-02-28-tweedekamer-3,2022-02-28,tweedekamer,3,"the attack on Ukraine is more than an attack on a country. it is an attack on peace, security and democracy. it is estimated that there are more than 200,000 refugees. the consequences for them are greatest and inconceivable."
ParlaMint-NL-en_2022-03-08-eerstekamer-3,2022-03-08,eerstekamer,3,"van Strien, Gom (PVV) says climate change is going even faster than thought. he says climate change is going even faster than thought. van Strien: if it is scientifically established that global warming is there, how can it be done in months' time to adjust those figures?"
ParlaMint-NL-en_2022-03-08-eerstekamer-6,2022-03-08,eerstekamer,6,bruijn: the CDA Group welcomes the two leaders in our midst. he says we hope that in the course of the debate the directors will be able to answer these questions and doubts. he asks whether the Netherlands still has the ambition to be an example in this area for other European countries.
ParlaMint-NL-en_2022-03-08-tweedekamer-18,2022-03-08,tweedekamer,18,"the motion is about a hormone extracted from pregnant horses. it's a gonadotrophin, so it's won out of horses. the motion is not very compact, but that makes sure that I can give some explanation. the next item is the two-minute debate on informal agriculture and Fisheries Council."
ParlaMint-NL-en_2022-03-08-tweedekamer-19,2022-03-08,tweedekamer,19,"the two-minute debate on the agriculture and Fisheries Council took place on 16 February last. the first speaker on the side of the chamber is Mr Thijssen of the Labour Party. he has the floor. everyone has two minutes' speaking time. if we become less dependent, this can indeed help in this crisis."
ParlaMint-NL-en_2022-03-08-tweedekamer-20,2022-03-08,tweedekamer,20,two-minute debate on biotechnology and horticulture took place on 9 February last. the committee debated a brief motion on farm meat. the motion called for experimental space to be provided to farmed meat producers to contribute to a safe and healthy introduction of the market.
ParlaMint-NL-en_2022-03-08-tweedekamer-22,2022-03-08,tweedekamer,22,"[[Motion]] [[The Chamber,]] [[heard the debate,]] [noting that hundreds of thousands of tenants cannot make ends meet each month. [[Motion]] [[the Chamber,]] [[heard the debate,]] [noting that hundreds of thousands of tenants cannot make ends meet each month. [[Motion]] [[the Chamber,]] [[heard the debate,]] [noting that hundreds of thousands of tenants cannot"
ParlaMint-NL-en_2022-03-08-tweedekamer-23,2022-03-08,tweedekamer,23,"a proposal for a law of Mr Nijboer, Mr Beckerman and Mr Bromet amending the Housing Act. he will act as advisor to the Chamber in the handling of this bill. he will act as advisor to the Chamber in the handling of this bill."
ParlaMint-NL-en_2022-03-09-tweedekamer-3,2022-03-09,tweedekamer,3,"the two-minute debate on the leaking of private data at the Chamber of Commerce. a forensic psychologist approached me, who works in employment with serious criminals. a self-employed person feels unsafe because of his employment, but is not protected by the Trade Register."
ParlaMint-NL-en_2022-03-09-tweedekamer-4,2022-03-09,tweedekamer,4,the amendment of book 6 of the civil code is to reduce the legal payment period to 30 days (35769). the amendment is to reduce the legal payment period to 30 days (35769). the amendment means that the other members of parliament are very happy to listen to you.
ParlaMint-NL-en_2022-03-09-tweedekamer-5,2022-03-09,tweedekamer,5,"van der Staaij is the chairman of the committee on the manners in the House of Representatives. he says the president could allow interruptions, but that's not a right. he says he's cheating already, but he's a 151st seat in the house of representatives."
ParlaMint-NL-en_2022-03-09-tweedekamer-8,2022-03-09,tweedekamer,8,"a note from a member of the chamber based on the conversations, my own observations and my own insights. he says it's important to say that most debates are just worthy, with respect to each other. he says it's important to know how hard this chamber works, with two parliamentary surveys."
ParlaMint-NL-en_2022-03-09-tweedekamer-9,2022-03-09,tweedekamer,9,the first issue is the first-term response on the part of the initiators. he will be the first to give the floor to Mr Hammelburg. he will be the first to give the floor to the initiators. he would like to dwell on the war in Ukraine.
ParlaMint-NL-en_2022-03-10-tweedekamer-12,2022-03-10,tweedekamer,12,"a guerrilla emerged to shift every comma in order to shift money flows. the government expects purchasing power to fall by 3%. the era of free money is over, says former pvdA executive."
ParlaMint-NL-en_2022-03-10-tweedekamer-3,2022-03-10,tweedekamer,3,the next item is the two-minute debate on the EU proposal for a digital co-vid certificate. the first speaker is Mr Omtzigt. he's gonna talk to us for one minute. he's gonna talk to us for one minute. she's getting no. kst-22112-3325.
ParlaMint-NL-en_2022-03-10-tweedekamer-4,2022-03-10,tweedekamer,4,"the next item is the proposal for a law of Mr Ellemeet, Mr Ploumen, Mr Paternotte and Mr Van Wijngaarden, amending the law on abruption of pregnancy and certain other laws relating to the legal termination of pregnancy through the GP, Section 34891. we'll do the votes next week, with the exception of the votes."
ParlaMint-NL-en_2022-03-10-tweedekamer-8,2022-03-10,tweedekamer,8,the next item is the two-minute debate on the Eurogroup/Ecofin Council. he will be the first to give the floor to Mr. Heinen of the VVD. he will be the first to give the floor to the people in the public gallery.
ParlaMint-NL-en_2022-03-10-tweedekamer-9,2022-03-10,tweedekamer,9,the next item is the two-minute debate on the Environment Council on 17 March 2022. I will be the first to give the floor to Mrs Teunissen of the Animal Party for her contribution. the first motion is as follows.
ParlaMint-NL-en_2022-03-15-eerstekamer-11,2022-03-15,eerstekamer,11,"bruijn: i'm waiting neatly until... yeah, now the microphone's working. he says it's good to achieve a good set of basic legal provisions for everyone. he says the automatic acquisition of authority after recognition is in the best interests of the child. he says it's important that both parents, whether or not after a divorce, cannot agree."
ParlaMint-NL-en_2022-03-15-eerstekamer-12,2022-03-15,eerstekamer,12,"bruijn, Jan Anthonie (VVD): the issue is now the reopening of the debate. he says the chamber granted leave this afternoon for a short third term. he says the minister of finance had to get the hot coal out of the fire."
ParlaMint-NL-en_2022-03-15-eerstekamer-5,2022-03-15,eerstekamer,5,"bruijn, Jan Anthonie (VVD) has requested a short third deadline for a further amended motion. the amended motion was signed by members van Rooijen, Baay-Timmerman and Otten. bruijn, Jan anthonie (VVD): ""i am working hard here for various actions that we are currently taking"""
ParlaMint-NL-en_2022-03-15-tweedekamer-32,2022-03-15,tweedekamer,32,"the two-minute debate Nature has been allocated 20 minutes on the plenary agenda. it's gonna be a real challenge to make that happen, says the chairman. he apologizes to the whole of the Netherlands that there is an agricultural sector at all."
ParlaMint-NL-en_2022-03-15-tweedekamer-33,2022-03-15,tweedekamer,33,motion-Vestering/Van Raan on no nitrogen deposition space reserved for the expansion of Lelystad Airport. he will speak on behalf of the Animal Party. he will be the first to give the floor to the minister.
ParlaMint-NL-en_2022-03-15-tweedekamer-34,2022-03-15,tweedekamer,34,"the next item is the two-minute debate on the future of the Wadden. the minister of infrastructure and water state will speak on behalf of the minister. it is shared that it is nice to have such an agenda, but we certainly want to make choices for licensing."
ParlaMint-NL-en_2022-03-15-tweedekamer-35,2022-03-15,tweedekamer,35,"[[Motion]] [[The Chamber,]] [[heard the debate,]] [noting that regional aviation is important for the accessibility, location and economy of the whole of the Netherlands;]] [[calls on the Government to examine how Groningen Airport Eelde can be made economically profitable and ensure continuity and what role Schiphol can play in this process,]] [[heard the debate,]] [noting that the main competition from European airports and airlines is Istanbul Airport and"
ParlaMint-NL-en_2022-03-15-tweedekamer-36,2022-03-15,tweedekamer,36,"[[Motion]] [[The Chamber,]] [[heard the debate,]] [noting the importance of road safety in schools;]] [calls on the Government, together with municipalities and the transport sector, to draw up a guide for the uniform and recognizable establishment of school areas;]] [[calls on the Government to commit itself to the following five points for the following school year:]] [[the ambition must be: each primary school in a school area;]] ["
ParlaMint-NL-en_2022-03-15-tweedekamer-37,2022-03-15,tweedekamer,37,a study by the RIVM showed that there is a lot of pollution around the Tata plant. the minister said that before the summer there will be an explanation from the RIVM about the unacceptable health risks and how clean the air should be there. the minister said that before the summer there will be an explanation.
ParlaMint-NL-en_2022-03-15-tweedekamer-38,2022-03-15,tweedekamer,38,"the green project scheme 2022 aims to promote the financing of innovative projects that have super-legal positive environmental impacts. the next motion is to remove the bottlenecks in relation to sustainable construction and energy, two options in this scheme for green projects 2022."
ParlaMint-NL-en_2022-03-17-tweedekamer-6,2022-03-17,tweedekamer,6,it's good that you have used one of the most powerful instruments of a Member of Parliament: initiative legislation. it already has three legislative proposals in its name in 2022 and that is a special achievement. she is present as an advisor to the House of Representatives.
ParlaMint-NL-en_2022-03-17-tweedekamer-7,2022-03-17,tweedekamer,7,"the next item is the two-minute debate Main debate on health, well-being and sport. I will then give the floor to Mrs Agema of the PVV. five funds have been channelled out of the lock this year, considerably less than the Minister seems to suggest in his reply."
ParlaMint-NL-en_2022-03-17-tweedekamer-8,2022-03-17,tweedekamer,8,"the next item is the two-minute debate on zoonoses and animal diseases. she will give the floor to the minister for agriculture, nature and food quality. she will be the first to give the floor to Mr. Tjeerd de Groot of D66."
ParlaMint-NL-en_2022-03-22-tweedekamer-25,2022-03-22,tweedekamer,25,the debate on the development of purchasing power and rising energy prices is going to take place tomorrow. the debate will be held in the first term of office. it will be the first time we've had a debate on the development of purchasing power.
ParlaMint-NL-en_2022-03-23-tweedekamer-3,2022-03-23,tweedekamer,3,"van Strien, Gom (PVV): 'i'm thrilled!' van Strien: 'i'm thrilled!' van Strien: 'i'm thrilled!' van Strien: 'i'm thrilled!'"
ParlaMint-NL-en_2022-03-23-tweedekamer-4,2022-03-23,tweedekamer,4,a debate on purchasing power and rising energy prices is continuing. the debate is still heartwarming to see how everyone is working for the refugees. the consequences of the war in Ukraine are once again a shock to our economy.
ParlaMint-NL-en_2022-03-23-tweedekamer-7,2022-03-23,tweedekamer,7,it's the first time I've spoken in this term. it's the first time I've spoken in this term. it's a derivative of that. the war has a clear impact on the Dutch economy.
